sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
NC_003888.3	NC_003888.3_2	1144	3813	+	PF04851	Pfam	1.0919773850852148e-11	3.947857502115744e-15	35	211	0.9648923826246136
NC_003888.3	NC_003888.3_2	1144	3813	+	PF03457	Pfam	5.151853499718083e-15	1.8625645335206374e-18	575	643	0.9648923826246136
NC_003888.3	NC_003888.3_2	1144	3813	+	PF03457	Pfam	6.664204847775972e-10	2.4093293014374447e-13	649	720	0.9648923826246136
NC_003888.3	NC_003888.3_2	1144	3813	+	PF03457	Pfam	6.491543492700316e-9	2.346906541106405e-12	729	791	0.9648923826246136
NC_003888.3	NC_003888.3_2	1144	3813	+	PF03457	Pfam	1.6971116577672854e-8	6.135616983974279e-12	814	885	0.9648923826246136
NC_003888.3	NC_003888.3_3	3869	6220	+	PF03457	Pfam	2.5299983112975603e-12	9.14677625197961e-16	365	424	0.9691307600967218
NC_003888.3	NC_003888.3_3	3869	6220	+	PF03457	Pfam	1.0297950740696356e-10	3.7230479901288344e-14	510	569	0.9691307600967218
NC_003888.3	NC_003888.3_3	3869	6220	+	PF03457	Pfam	7.026617445176037e-8	2.540353378588589e-11	658	700	0.9691307600967218
NC_003888.3	NC_003888.3_5	7145	9307	+	PF00665	Pfam	8.782164731398489e-8	3.175041479175159e-11	269	409	0.9691185625426061
NC_003888.3	NC_003888.3_6	9301	10410	+	PF13604	Pfam	1.5756116140100142e-6	5.696354352892315e-10	111	212	0.969578634342522
NC_003888.3	NC_003888.3_16	17937	18263	+	PF19746	Pfam	1.8506071537750598e-9	6.690553701283658e-13	38	96	0.999174845863991
NC_003888.3	NC_003888.3_17	18485	19351	-	PF01590	Pfam	4.5439374526715144e-8	1.6427828823830494e-11	129	260	0.989363560028181
NC_003888.3	NC_003888.3_20	22230	22424	-	PF01695	Pfam	9.864695774653117e-18	3.566412066035111e-21	2	45	0.948924780061624
NC_003888.3	NC_003888.3_21	22843	23061	+	PF01695	Pfam	1.451119166642977e-6	5.246273198275405e-10	2	49	0.945838353516288
NC_003888.3	NC_003888.3_26	26527	28728	-	PF13088	Pfam	2.12440205727863e-20	7.680412354586515e-24	74	376	0.9515349509466456
NC_003888.3	NC_003888.3_27	29163	29519	+	PF03457	Pfam	1.7054951648884945e-10	6.165926120348859e-14	40	115	0.956667467877904
NC_003888.3	NC_003888.3_31	32134	33357	+	PF00201	Pfam	3.956063435336542e-17	1.4302470843588367e-20	227	364	0.957933119529997
NC_003888.3	NC_003888.3_31	32134	33357	+	PF04101	Pfam	4.3626517497241233e-10	1.5772421365596975e-13	286	365	0.957933119529997
NC_003888.3	NC_003888.3_34	35179	35907	-	PF05368	Pfam	2.6542740339519672e-8	9.596073875459028e-12	3	172	0.9421556218605881
NC_003888.3	NC_003888.3_34	35179	35907	-	PF13460	Pfam	2.47741218956701e-10	8.956660121355784e-14	7	171	0.9421556218605881
NC_003888.3	NC_003888.3_35	36006	36674	-	PF00881	Pfam	4.630853448534993e-29	1.6742058743799685e-32	7	197	0.9379865178316584
NC_003888.3	NC_003888.3_36	36816	37478	+	PF02525	Pfam	1.4025955092106475e-31	5.070844212619839e-35	3	163	0.933710312984083
NC_003888.3	NC_003888.3_36	36816	37478	+	PF03358	Pfam	1.3201790041735563e-9	4.772881432297745e-13	15	140	0.933710312984083
NC_003888.3	NC_003888.3_37	37614	38768	-	PF12802	Pfam	2.1970497148163188e-11	7.943057537296887e-15	271	330	0.9284785327532498
NC_003888.3	NC_003888.3_37	37614	38768	-	PF01047	Pfam	2.1326153937033664e-7	7.710106267908049e-11	275	330	0.9284785327532498
NC_003888.3	NC_003888.3_41	40223	40402	-	PF13586	Pfam	2.566333217628976e-8	9.278138892367954e-12	3	41	0.921682757132821
NC_003888.3	NC_003888.3_42	40478	40918	-	PF13340	Pfam	1.7006760434688412e-16	6.148503410950257e-20	1	43	0.918886896736768
NC_003888.3	NC_003888.3_43	41354	41764	+	PF13340	Pfam	1.6774520860487523e-25	6.064541164312192e-29	10	87	0.91605258621457
NC_003888.3	NC_003888.3_44	41800	42174	+	PF13586	Pfam	1.7026942384440967e-6	6.155799849761738e-10	36	103	0.9131781914143435
NC_003888.3	NC_003888.3_48	45267	46073	+	PF08240	Pfam	2.153057868685409e-6	7.784012540438934e-10	28	87	0.7859759513064044
NC_003888.3	NC_003888.3_48	45267	46073	+	PF00107	Pfam	9.533509103524412e-11	3.446677188548233e-14	157	239	0.7859759513064044
NC_003888.3	NC_003888.3_51	47789	48844	-	PF00356	Pfam	7.004091239805345e-18	2.5322094142463285e-21	10	55	0.2231138642521413
NC_003888.3	NC_003888.3_51	47789	48844	-	PF00532	Pfam	1.556191140452759e-27	5.626142951745333e-31	68	317	0.2231138642521413
NC_003888.3	NC_003888.3_51	47789	48844	-	PF13407	Pfam	3.061466968995303e-11	1.1068210300055325e-14	69	278	0.2231138642521413
NC_003888.3	NC_003888.3_51	47789	48844	-	PF13377	Pfam	2.5303173998847598e-23	9.147929862200867e-27	177	330	0.2231138642521413
NC_003888.3	NC_003888.3_54	51831	53144	+	PF01547	Pfam	3.1887436647740346e-53	1.1528357428684145e-56	55	347	0.14862999670417976
NC_003888.3	NC_003888.3_54	51831	53144	+	PF13416	Pfam	4.3328665274193796e-23	1.5664737987777945e-26	67	368	0.14862999670417976
NC_003888.3	NC_003888.3_55	53141	54100	+	PF00528	Pfam	5.0393092802054066e-18	1.8218760955189467e-21	113	309	0.07507240717711859
NC_003888.3	NC_003888.3_56	54103	54918	+	PF00528	Pfam	1.832515489661602e-15	6.625146383447585e-19	93	260	0.04795663573058167
NC_003888.3	NC_003888.3_61	60740	64093	-	PF20148	Pfam	3.767823924965604e-10	1.362192308375128e-13	143	213	0.027793561746234225
NC_003888.3	NC_003888.3_64	66104	66544	-	PF13340	Pfam	9.351086025742697e-21	3.380725244303217e-24	43	119	0.03381250412659169
NC_003888.3	NC_003888.3_65	66688	67911	-	PF07690	Pfam	1.118775165438203e-35	4.0447402944258966e-39	30	340	0.012729521132438004
NC_003888.3	NC_003888.3_65	66688	67911	-	PF06779	Pfam	9.162879691892551e-8	3.312682462723265e-11	82	388	0.012729521132438004
NC_003888.3	NC_003888.3_67	68914	69411	-	PF13586	Pfam	1.0840220795680274e-13	3.919096455415862e-17	81	157	0.030173700463490008
NC_003888.3	NC_003888.3_68	69784	70647	+	PF13340	Pfam	1.8478226982456105e-23	6.680486978472924e-27	26	104	0.03563453712161437
NC_003888.3	NC_003888.3_70	71648	72139	-	PF01068	Pfam	2.1431559859532275e-11	7.748213976692797e-15	2	126	0.001361796205796592
NC_003888.3	NC_003888.3_71	72159	73097	-	PF03747	Pfam	2.637740146674181e-58	9.536298433384603e-62	9	278	0.004565431205281869
NC_003888.3	NC_003888.3_72	73784	74833	-	PF13483	Pfam	3.1531385377932107e-10	1.1399633180741903e-13	61	191	0.0035555056734180826
NC_003888.3	NC_003888.3_72	73784	74833	-	PF00753	Pfam	2.185811845645302e-9	7.902428943041583e-13	66	164	0.0035555056734180826
NC_003888.3	NC_003888.3_72	73784	74833	-	PF12706	Pfam	4.233212332077891e-8	1.530445528589259e-11	75	224	0.0035555056734180826
NC_003888.3	NC_003888.3_73	74917	75876	-	PF13354	Pfam	1.4825608671113633e-53	5.359945289628935e-57	53	286	0.004975516058745633
NC_003888.3	NC_003888.3_74	75907	76893	+	PF00126	Pfam	4.2980676946229654e-24	1.5538928758579052e-27	4	62	0.017670330019037384
NC_003888.3	NC_003888.3_74	75907	76893	+	PF03466	Pfam	1.064324653762574e-33	3.8478837807757555e-37	89	293	0.017670330019037384
NC_003888.3	NC_003888.3_75	77315	78271	+	PF13384	Pfam	8.574989927564538e-10	3.100140971643e-13	13	55	0.028073718999999293
NC_003888.3	NC_003888.3_75	77315	78271	+	PF00665	Pfam	3.604509048809293e-31	1.3031486076678572e-34	132	252	0.028073718999999293
NC_003888.3	NC_003888.3_75	77315	78271	+	PF13683	Pfam	4.633534334448824e-20	1.6751751028376081e-23	241	306	0.028073718999999293
NC_003888.3	NC_003888.3_77	79839	80690	-	PF13384	Pfam	3.1210423500468955e-7	1.128359490255566e-10	16	59	0.07093274097920896
NC_003888.3	NC_003888.3_77	79839	80690	-	PF13551	Pfam	1.7503089421120925e-9	6.32794266851805e-13	20	78	0.07093274097920896
NC_003888.3	NC_003888.3_77	79839	80690	-	PF00665	Pfam	1.9333876771004694e-16	6.989832527478198e-20	140	247	0.07093274097920896
NC_003888.3	NC_003888.3_77	79839	80690	-	PF13683	Pfam	3.9023736800286414e-9	1.4108364714492558e-12	235	282	0.07093274097920896
NC_003888.3	NC_003888.3_78	81602	82441	-	PF13340	Pfam	2.9836066847487297e-24	1.0786719756864532e-27	11	90	0.09947211143528409
NC_003888.3	NC_003888.3_78	81602	82441	-	PF13586	Pfam	8.837404135370885e-10	3.1950123410596113e-13	210	259	0.09947211143528409
NC_003888.3	NC_003888.3_79	82605	83060	+	PF13340	Pfam	8.523981522102904e-23	3.0816997549178974e-26	44	119	0.09027547350154783
NC_003888.3	NC_003888.3_84	89166	89465	+	PF13340	Pfam	5.401378685949217e-14	1.952776097595523e-17	1	45	0.2609979112986172
NC_003888.3	NC_003888.3_87	91977	92729	+	PF00106	Pfam	1.6378489748602662e-48	5.921362888142683e-52	8	192	0.28928745806837913
NC_003888.3	NC_003888.3_87	91977	92729	+	PF08659	Pfam	1.2198208783970699e-12	4.410053790300325e-16	11	166	0.28928745806837913
NC_003888.3	NC_003888.3_87	91977	92729	+	PF13561	Pfam	4.0394952651501965e-57	1.460410435701445e-60	17	247	0.28928745806837913
NC_003888.3	NC_003888.3_88	93593	94153	-	PF13340	Pfam	2.8256669927241907e-26	1.0215715808836554e-29	23	100	0.35661104989591014
NC_003888.3	NC_003888.3_89	94306	94872	-	PF00440	Pfam	2.3270210087062734e-13	8.412946524606917e-17	17	61	0.3546632064598409
NC_003888.3	NC_003888.3_90	94989	95681	+	PF00106	Pfam	2.2078635835533204e-34	7.982153230489227e-38	7	186	0.5710172747827307
NC_003888.3	NC_003888.3_90	94989	95681	+	PF13561	Pfam	4.457917292877323e-21	1.6116837645977308e-24	12	191	0.5710172747827307
NC_003888.3	NC_003888.3_91	95995	97518	+	PF04616	Pfam	1.0282257963692248e-97	3.7173745349574287e-101	2	280	0.6400270600865353
NC_003888.3	NC_003888.3_93	98463	99338	-	PF12698	Pfam	1.2460408970495373e-6	4.5048477839824195e-10	94	243	0.9472303200497276
NC_003888.3	NC_003888.3_94	99335	99949	-	PF00005	Pfam	1.596260836681639e-27	5.771008086339982e-31	16	144	0.959753240441202
NC_003888.3	NC_003888.3_95	100190	101566	+	PF00743	Pfam	1.4373676390123673e-82	5.196556901707763e-86	2	426	0.9685544589028799
NC_003888.3	NC_003888.3_95	100190	101566	+	PF13450	Pfam	5.743163112198614e-7	2.076342412219311e-10	6	47	0.9685544589028799
NC_003888.3	NC_003888.3_95	100190	101566	+	PF13738	Pfam	6.800157094390916e-17	2.4584805113488486e-20	6	207	0.9685544589028799
NC_003888.3	NC_003888.3_97	103781	104989	+	PF01370	Pfam	3.671332838220631e-13	1.327307606008905e-16	4	217	0.9954750845159995
NC_003888.3	NC_003888.3_97	103781	104989	+	PF07993	Pfam	2.236138153459114e-75	8.08437510288906e-79	5	279	0.9954750845159995
NC_003888.3	NC_003888.3_99	106694	112885	+	PF00109	Pfam	3.8368352061654844e-62	1.3871421569651064e-65	10	285	0.9999856362935352
NC_003888.3	NC_003888.3_99	106694	112885	+	PF02801	Pfam	5.475600842851461e-42	1.979609849187079e-45	293	411	0.9999856362935352
NC_003888.3	NC_003888.3_99	106694	112885	+	PF16197	Pfam	8.233097497368763e-9	2.976535610039321e-12	414	515	0.9999856362935352
NC_003888.3	NC_003888.3_99	106694	112885	+	PF00698	Pfam	7.763879573675766e-44	2.8068978935921064e-47	592	892	0.9999856362935352
NC_003888.3	NC_003888.3_99	106694	112885	+	PF00550	Pfam	4.484674856331145e-8	1.6213575040965817e-11	1180	1247	0.9999856362935352
NC_003888.3	NC_003888.3_99	106694	112885	+	PF08659	Pfam	1.2293308584113725e-34	4.4444354967873193e-38	1526	1747	0.9999856362935352
NC_003888.3	NC_003888.3_99	106694	112885	+	PF00106	Pfam	7.134869904629358e-10	2.579490204132089e-13	1600	1720	0.9999856362935352
NC_003888.3	NC_003888.3_99	106694	112885	+	PF13561	Pfam	1.9583410110918096e-9	7.080047039377476e-13	1609	1724	0.9999856362935352
