sequence_id	protein_id	start	end	strand	average_p	max_p
NC_003888.3	NC_003888.3_1	827	1123	+	0.9575867991411838	0.9575867991411838
NC_003888.3	NC_003888.3_2	1144	3813	+	0.9648923826246136	0.9648923826246136
NC_003888.3	NC_003888.3_3	3869	6220	+	0.9691307600967218	0.9691307600967218
NC_003888.3	NC_003888.3_4	6226	7173	+	0.9690019822152108	0.9690019822152108
NC_003888.3	NC_003888.3_5	7145	9307	+	0.9691185625426061	0.9691185625426061
NC_003888.3	NC_003888.3_6	9301	10410	+	0.969578634342522	0.969578634342522
NC_003888.3	NC_003888.3_7	10407	11363	+	0.9708004622717931	0.9708004622717931
NC_003888.3	NC_003888.3_8	11427	12137	-	0.9723085206869427	0.9723085206869427
NC_003888.3	NC_003888.3_9	12285	13457	+	0.974118557219587	0.974118557219587
NC_003888.3	NC_003888.3_10	14044	14625	-	0.9762494728540909	0.9762494728540909
NC_003888.3	NC_003888.3_11	14739	15029	-	0.9787235192977356	0.9787235192977356
NC_003888.3	NC_003888.3_12	15235	15360	-	0.9818253627826342	0.9818253627826342
NC_003888.3	NC_003888.3_13	15317	15595	-	0.9853785260752923	0.9853785260752923
NC_003888.3	NC_003888.3_14	16070	17302	-	0.9893945689729907	0.9893945689729907
NC_003888.3	NC_003888.3_15	17715	17918	+	0.9939154282889653	0.9939154282889653
NC_003888.3	NC_003888.3_16	17937	18263	+	0.999174845863991	0.999174845863991
NC_003888.3	NC_003888.3_17	18485	19351	-	0.989363560028181	0.989363560028181
NC_003888.3	NC_003888.3_18	19971	21620	+	0.9744252291748884	0.9744252291748884
NC_003888.3	NC_003888.3_19	21617	22210	+	0.9609923925214202	0.9609923925214202
NC_003888.3	NC_003888.3_20	22230	22424	-	0.948924780061624	0.948924780061624
NC_003888.3	NC_003888.3_21	22843	23061	+	0.945838353516288	0.945838353516288
NC_003888.3	NC_003888.3_22	23316	23831	+	0.94634003881489	0.94634003881489
NC_003888.3	NC_003888.3_23	23977	24990	-	0.9471504108610864	0.9471504108610864
NC_003888.3	NC_003888.3_24	25251	25871	+	0.9482779318207499	0.9482779318207499
NC_003888.3	NC_003888.3_25	25843	26385	-	0.9497343756308404	0.9497343756308404
NC_003888.3	NC_003888.3_26	26527	28728	-	0.9515349509466456	0.9515349509466456
NC_003888.3	NC_003888.3_27	29163	29519	+	0.956667467877904	0.956667467877904
NC_003888.3	NC_003888.3_28	30379	31131	-	0.9565651047569623	0.9565651047569623
NC_003888.3	NC_003888.3_29	31146	31274	-	0.9567402204790848	0.9567402204790848
NC_003888.3	NC_003888.3_30	31517	32137	+	0.957194643659035	0.957194643659035
NC_003888.3	NC_003888.3_31	32134	33357	+	0.957933119529997	0.957933119529997
NC_003888.3	NC_003888.3_32	33360	33845	+	0.9509648253042359	0.9509648253042359
NC_003888.3	NC_003888.3_33	33842	34777	+	0.9462785765356736	0.9462785765356736
NC_003888.3	NC_003888.3_34	35179	35907	-	0.9421556218605881	0.9421556218605881
NC_003888.3	NC_003888.3_35	36006	36674	-	0.9379865178316584	0.9379865178316584
NC_003888.3	NC_003888.3_36	36816	37478	+	0.933710312984083	0.933710312984083
NC_003888.3	NC_003888.3_37	37614	38768	-	0.9284785327532498	0.9284785327532498
NC_003888.3	NC_003888.3_38	39107	39439	-	0.9261879628015802	0.9261879628015802
NC_003888.3	NC_003888.3_39	39489	39812	+	0.9243042499172349	0.9243042499172349
NC_003888.3	NC_003888.3_40	39901	40212	+	0.9228077237636573	0.9228077237636573
NC_003888.3	NC_003888.3_41	40223	40402	-	0.921682757132821	0.921682757132821
NC_003888.3	NC_003888.3_42	40478	40918	-	0.918886896736768	0.918886896736768
NC_003888.3	NC_003888.3_43	41354	41764	+	0.91605258621457	0.91605258621457
NC_003888.3	NC_003888.3_44	41800	42174	+	0.9131781914143435	0.9131781914143435
NC_003888.3	NC_003888.3_45	42171	43682	-	0.9078745629369595	0.9078745629369595
NC_003888.3	NC_003888.3_46	43950	44090	+	0.9032157840225397	0.9032157840225397
NC_003888.3	NC_003888.3_47	44805	44975	+	0.7886380931878786	0.7886380931878786
NC_003888.3	NC_003888.3_48	45267	46073	+	0.7859759513064044	0.7859759513064044
NC_003888.3	NC_003888.3_49	46064	46201	+	0.7771544616157215	0.7771544616157215
NC_003888.3	NC_003888.3_50	46430	47734	-	0.7678030947035867	0.7678030947035867
NC_003888.3	NC_003888.3_51	47789	48844	-	0.2231138642521413	0.2231138642521413
NC_003888.3	NC_003888.3_52	48889	49824	-	0.22261830177461212	0.22261830177461212
NC_003888.3	NC_003888.3_53	49821	51539	-	0.22205526684301075	0.22205526684301075
NC_003888.3	NC_003888.3_54	51831	53144	+	0.14862999670417976	0.14862999670417976
NC_003888.3	NC_003888.3_55	53141	54100	+	0.07507240717711859	0.07507240717711859
